"species","family","rec_gbif"
"Formicarius analis","Formicariidae",33
"Machaeropterus striolatus","Pipridae",33
"Rhynchocyclus olivaceus","Tyrannidae",33
"Odontophorus gujanensis","Odontophoridae",33
"Cyanerpes cyaneus","Thraupidae",33
"Dendrocincla merula","Furnariidae",33
"Petrochelidon pyrrhonota","Hirundinidae",33
"Dromococcyx phasianellus","Cuculidae",32
"Iodopleura isabellae","Cotingidae",32
"Myrmoborus melanurus","Thamnophilidae",32
"Hylophilus hypoxanthus","Vireonidae",31
"Streptoprocne zonaris","Apodidae",31
"Piaya melanogaster","Cuculidae",31
"Elaenia spectabilis","Tyrannidae",30
"Cyanerpes nitidus","Thraupidae",30
"Hemithraupis flavicollis","Thraupidae",30
"Chrysuronia versicolor","Trochilidae",30
"Crax globulosa","Cracidae",30
NULL,"Falconidae",29
"Lanio fulvus","Thraupidae",29
NULL,"Thamnophilidae",28
"Heliothryx auritus","Trochilidae",28
"Ramphotrigon ruficauda","Tyrannidae",28
"Pipra pipra","Pipridae",27
"Hylophilus semicinereus","Vireonidae",27
"Hemithraupis guira","Thraupidae",27
"Myiopagis flavivertex","Tyrannidae",27
"Spizaetus tyrannus","Accipitridae",26
"Agamia agami","Ardeidae",26
"Porphyrolaema porphyrolaema","Cotingidae",26
"Monasa flavirostris","Bucconidae",26
"Herpsilochmus dorsimaculatus","Thamnophilidae",26
"Jacamerops aureus","Galbulidae",26
"Dichrozona cincta","Thamnophilidae",26
"Setophaga petechia","Parulidae",26
"Myrmotherula ignota","Thamnophilidae",26
"Philydor pyrrhodes","Furnariidae",25
"Xenops minutus","Furnariidae",25
"Sclerurus caudacutus","Furnariidae",25
"Celeus torquatus","Picidae",25
"Loriotus luctuosus","Thraupidae",25
"Elaenia flavogaster","Tyrannidae",25
"Notiochelidon cyanoleuca","Hirundinidae",25
"Myrmotherula longipennis","Thamnophilidae",24
"Contopus virens","Tyrannidae",24
"Knipolegus orenocensis","Tyrannidae",24
"Automolus infuscatus","Furnariidae",24
"Nyctibius aethereus","Nyctibiidae",24
"Grallaria dignissima","Grallariidae",23
"Henicorhina leucosticta","Troglodytidae",23
"Neopelma chrysocephalum","Pipridae",23
"Coereba flaveola","Coerebidae",23
"Touit purpuratus","Psittacidae",23
"Chordeiles nacunda","Caprimulgidae",23
"Cercomacra serva","Thamnophilidae",23
"Heliodoxa aurescens","Trochilidae",22
"Hylophilus thoracicus","Vireonidae",22
"Leucopternis melanops","Accipitridae",22
"Malacoptila fusca","Bucconidae",22
"Myiarchus swainsoni","Tyrannidae",22
"Onychorhynchus coronatus","Tyrannidae",22
"Tolmomyias assimilis","Tyrannidae",22
NULL,NULL,21
"Hypocnemoides maculicauda","Thamnophilidae",21
"Tangara callophrys","Thraupidae",21
"Baryphthengus martii","Momotidae",21
"Piprites chloris","Cotingidae",21
"Notharchus hyperrhynchus","Bucconidae",21
"Tringa flavipes","Scolopacidae",21
"Notharchus tectus","Bucconidae",21
"Xenops milleri","Furnariidae",20
"Zonotrichia capensis","Emberizidae",20
"Hemitriccus zosterops","Tyrannidae",20
"Cercomacra nigrescens","Thamnophilidae",20
"Tyrannus tyrannus","Tyrannidae",20
"Platyrinchus coronatus","Tyrannidae",20
"Tersina viridis","Thraupidae",19
"Philydor erythropterum","Furnariidae",19
"Chordeiles minor","Caprimulgidae",19
"Heliomaster longirostris","Trochilidae",19
"Strix huhula","Strigidae",19
"Falco peregrinus","Falconidae",19
"Hypocnemoides melanopogon","Thamnophilidae",19
"Nyctipolus nigrescens","Caprimulgidae",18
"Synallaxis propinqua","Furnariidae",18
"Habia rubica","Cardinalidae",18
"Heliodoxa schreibersii","Trochilidae",18
"Thamnophilus aethiops","Thamnophilidae",18
"Coccyzus cinereus","Cuculidae",18
"Automolus ochrolaemus","Furnariidae",18
"Cyanoloxia rothschildii","Cardinalidae",18
"Tolmomyias sulphurescens","Tyrannidae",18
"Dacnis lineata","Thraupidae",17
"Sporophila caerulescens","Thraupidae",17
"Cranioleuca gutturata","Furnariidae",17
"Micrastur semitorquatus","Falconidae",17
"Conirostrum margaritae","Thraupidae",17
"Piculus chrysochloros","Picidae",17
"Phlegopsis erythroptera","Thamnophilidae",17
"Cacicus haemorrhous","Icteridae",17
"Lurocalis semitorquatus","Caprimulgidae",16
"Setophaga striata","Parulidae",16
"Vireo leucophrys","Vireonidae",16
"Myiopagis caniceps","Tyrannidae",16
"Catharus ustulatus","Turdidae",16
"Philydor ruficaudatum","Furnariidae",16
"Sporophila nigricollis","Thraupidae",16
"Herpsilochmus dugandi","Thamnophilidae",15
"Columbina minuta","Columbidae",15
"Chlorestes cyanus","Trochilidae",15
"Topaza pyra","Trochilidae",15
"Myiodynastes luteiventris","Tyrannidae",15
NULL,"Furnariidae",14
"Deconychura longicauda","Furnariidae",14
"Chamaeza nobilis","Formicariidae",14
"Chlorostilbon olivaresi","Trochilidae",14
"Polytmus theresiae","Trochilidae",14
"Hyloctistes subulatus","Furnariidae",14
"Cranioleuca vulpina","Furnariidae",14
"Gampsonyx swainsonii","Accipitridae",14
"Lophotriccus galeatus","Tyrannidae",14
"Zenaida auriculata","Columbidae",14
"Conirostrum bicolor","Thraupidae",14
"Hylophylax punctulatus","Thamnophilidae",14
"Synallaxis albescens","Furnariidae",14
"Lophostrix cristata","Strigidae",14
"Anurolimnas fasciatus","Rallidae",13
"Accipiter superciliosus","Accipitridae",13
"Nonnula rubecula","Bucconidae",13
"Spizaetus melanoleucus","Accipitridae",13
"Pachyramphus rufus","Cotingidae",13
"Claravis pretiosa","Columbidae",13
"Muscisaxicola fluviatilis","Tyrannidae",13
"Psarocolius oseryi","Icteridae",13
"Patagioenas speciosa","Columbidae",13
"Platalea ajaja","Threskiornithidae",13
"Picumnus lafresnayi","Picidae",12
"Columbina passerina","Columbidae",12
"Tangara gyrola","Thraupidae",12
"Cranioleuca vulpecula","Furnariidae",12
"Mitu tuberosum","Cracidae",12
"Hylophilus ochraceiceps","Vireonidae",12
"Micrastur gilvicollis","Falconidae",12
"Galbula leucogastra","Galbulidae",12
"Myrmeciza atrothorax","Thamnophilidae",12
"Lathrotriccus euleri","Tyrannidae",12
"Cyclarhis gujanensis","Vireonidae",12
"Dacnis albiventris","Thraupidae",12
"Ancistrops strigilatus","Furnariidae",11
"Coccyzus americanus","Cuculidae",11
"Neochelidon tibialis","Hirundinidae",11
"Piranga olivacea","Cardinalidae",11
"Piranga rubra","Cardinalidae",11
"Tolmomyias traylori","Tyrannidae",10
"Deconychura stictolaema","Furnariidae",10
"Sirystes albocinereus","Tyrannidae",10
"Hypocnemis flavescens","Thamnophilidae",10
"Tachyphonus phoenicius","Thraupidae",10
"Stilpnia cayana","Thraupidae",10
"Stigmatura napensis","Tyrannidae",10
"Epinecrophylla erythrura","Thamnophilidae",10
"Empidonax alnorum","Tyrannidae",10
"Campylorhamphus procurvoides","Furnariidae",10
"Vireo flavoviridis","Vireonidae",9
"Geotrygon saphirina","Columbidae",9
"Atticora melanoleuca","Hirundinidae",9
"Laterallus melanophaius","Rallidae",9
"Microbates collaris","Polioptilidae",9
"Elaenia cristata","Tyrannidae",9
"Spizaetus ornatus","Accipitridae",9
"Frederickena fulva","Thamnophilidae",9
"Strix virgata","Strigidae",9
