"scientific","rec_gbif"
"Metanopedias Brues, 1910",7
"Acropyga Roger, 1862",7
"Chaoborus A.A.H.Lichtenstein, 1800",7
"Chiasmodolon exornatus Freytag, 2006",7
"Hermetia albitarsis Fabricius, 1805",7
"Erythemis peruviana Rambur, 1842",7
"Chrysomya putoria (Wiedemann, 1830)",7
"Jakrama krameri Young Jr., 1977",7
"Erythrogonia kokomona Medler, 1963",7
"Peckia lambens (Wiedemann, 1830)",7
"Leptogenys gaigei Wheeler, 1923",7
"Graphomya Robineau-Desvoidy, 1830",7
"Neoplea Esaki & China, 1928",7
"Dohrniphora foveolata Borgmeier, 1960",7
"Dohrniphora fundula Brown & Kung, 2010",7
"Tipulidae",7
"Marpesia chiron (Fabricius, 1775)",7
"Odontacolus Kieffer, 1910",7
"Panstrongylus geniculatus (Latreille, 1811)",7
"Gnamptogenys triangularis (Mayr, 1887)",7
"Dohrniphora longinoi Brown & Kung, 2010",7
"Nephepeltia Kirby, 1889",7
"Taeniaptera Macquart, 1835",7
"Melipona fuscopilosa Moure & Kerr, 1950",7
"Desmopachria Babington, 1841",7
"Cyphomyrmex Mayr, 1862",7
"Pachycondyla procidua Emery, 1890",7
"Myriophora pallida Hash & Brown, 2015",7
"Urania leilus Linnaeus, 1758",7
"Adrimus Bates, 1872",7
"Dytiscidae",6
"Panacris microdonta Kertész, 1908",6
"Neotrichia Morton, 1905",6
"Pheidole venatrix",6
"Brachida Mulsant & Rey, 1871",6
"Microvelia Westwood, 1834",6
"Muscidae",6
"Dohrniphora alvarengai Prado, 1976",6
"Blepharidatta Wheeler, 1915",6
"Elmidae",6
"Ectatomma permagnum Forel, 1908",6
"BOLD:AAB4838",6
"Nasutitermes ephratae (Holmgren, 1910)",6
"Miroculis Edmunds, 1963",6
"Oxytenidae",6
"Oxysternon silenus Castelnau, 1840",6
"Tranopelta Mayr, 1866",6
"Platydracus C.G.Thomson, 1858",6
"Dohrniphora circumflexa Borgmeier, 1960",6
"Vaninitermes ignotus Constantino, 1991",6
"Pachycondyla unidentata Mayr, 1862",6
"Acropyga goeldii Forel, 1893",6
"Oxysarcodexia fluminensis Lopes, 1946",6
"Mesovelia Mulsant & Rey, 1852",6
"Dettmeria Borgmeier, 1935",6
"Docalidia triangulata Nielson, 1982",6
"Phanaeus chalcomelas (Perty, 1830)",6
"Culicoides neoparaensis Tavares & Souza, 1978",6
"Erythrodiplax lativittata Borror, 1942",6
"Hetaerina Hagen, 1853",6
"Erotylidae",6
"Chaetohermetia apicalis Lindner, 1929",6
"Macugonalia moesta (Fabricius, 1803)",6
"Chiasmodolon cornutus Freytag, 2006",6
"Eurysternus hamaticollis Balthasar, 1939",6
"Megaselia crellini Disney, 2011",6
"Dohrniphora sinuicarina Brown & Kung, 2010",6
"Prionolopha serrata (Linnaeus, 1758)",6
"Hydrophilidae",6
"Dolichoderus mucronifer (Roger, 1862)",6
"Erythrodiplax umbrata Linnaeus, 1758",6
"Bdelyrus parvus Cook, 1998",6
"Marpesia crethon (Fabricius, 1776)",6
"Baeus Haliday, 1833",6
"Riodinidae",6
"Gnamptogenys Roger, 1863",6
"Pheidole lancifer",6
"Hypothyris semifulva (Salvin, 1869)",6
"Dohrniphora transversa Brown & Kung, 2007",6
"Germarostes Paulian, 1982",6
"Anopheles mattogrossensis Lutz & Neiva, 1911",6
"Chloronana pallenta DeLong & Freytag, 1964",6
"Calliscelio sfina Chen & Johnson, 2017",6
"Apocephalus cyathus Brown, 2002",6
"Portanus hasemani (Baker, 1923)",6
"Erythrodiplax attenuata Kirby, 1889",6
"Calliphoridae",5
"Cyphomyrmex castagnei MacKay & Baena, 1993",5
"Suphis Aubé, 1836",5
"Ladoffa obscurana Young Jr., 1977",5
"Callicore cynosura (Doubleday, 1847)",5
"Plateros Bourgeois, 1879",5
"Syntermes Holmgren, 1909",5
"Lampyridae",5
"Forcipomyia Meigen, 1818",5
"Lapitha Ashmead, 1893",5
"Orthoptera",5
"Stenolophus Dejean, 1821",5
"Erythemis Hagen, 1861",5
"Sericomyrmex saussurei Emery, 1894",5
"Cernotina Ross, 1938",5
"Apodicrania molinai Borgmeier, 1941",5
"Rhagovelia Mayr, 1865",5
"Dolichopodidae",5
"Ovatametra Kenaga, 1942",5
"Sericomyrmex diego Forel, 1912",5
"Scybalocanthon martinezi Silva & Valois, 2019",5
"Pheidole amazonica",5
"Micrathyria catenata Calvert, 1909",5
"Hylesia Hübner, 1820",5
"Lutzomyia França, 1924",5
"Erythemis vesiculosa Fabricius, 1775",5
"Helluobrochus Reichardt, 1974",5
"Scirtes Illiger, 1807",5
"Sciaridae",5
"Erythrodiplax Brauer, 1868",5
"Granastyochus elegantissimus (Tippmann, 1953)",5
"Hyposcada illinissa (Hewitson, 1852)",5
"Eurysternus gracilis Génier, 2009",5
"Carpelimus Leach, 1819",5
"Cithaerias aurorina Weymer, 1911",5
"Stichillus Enderlein, 1924",5
"Cithaerias pyritosa (Zikán, 1942)",5
"Megalomyrmex Forel, 1885",5
"Lutzomyia amazonensis (Root, 1934)",5
"Curtara retusa DeLong & Freytag, 1976",5
"Dryopidae",5
"Cylindrotermes flangiatus Mathews, 1977",5
"Jamesia globifera (Fabricius, 1801)",5
"Eciton lucanoides Emery, 1894",5
"Plociopterus Kraatz, 1857",5
"Phoebis argante larra (Fabricius, 1798)",5
"Oxyethira Eaton, 1873",5
"Apocephalus colombicus Brown, 1997",5
"Compsibidion maronicum (Thomson, 1867)",5
"Dohrniphora circularis Brown & Kung, 2007",5
"Neocapritermes pumilis Constantino, 1991",5
"Tramea Hagen, 1861",5
"Enochrus C.G.Thomson, 1859",5
"Dohrniphora bicavatura Brown & Kung, 2010",5
"Bdelyrus howdeni Cook, 1998",5
"Passalus convexus Dalman, 1817",5
"Apocephalus facettalis Borgmeier, 1961",5
"Lasiocampidae",5
"Dohrniphora flexicarina Brown & Kung, 2010",5
"Copididonus hyalinipennis (Stål, 1854)",5
"Rogeria Emery, 1923",5
"Coprophanaeus telamon (Erichson, 1847)",5
"Tithorea harmonia (Cramer, 1779)",5
"Rhabdodryas trite trite",5
"Paratrachymyrmex Solomon, Rabeling, Sosa-Calvo & Schultz, 2019",5
"Dohrniphora ignobilis Borgmeier, 1960",5
"Stagmatoptera binotata Scudder, 1869",5
"Pseudophasmatidae",5
"Dohrniphora knabi Malloch, 1912",5
"Biocrypta Casey, 1905",5
"Cosmariomyia albarista James, 1980",5
"Cyrtophorina deinocerca Borgmeier & Prado, 1975",5
"Pierella lena Linnaeus, 1767",5
"Trophithauma Schmitz, 1925",5
"Cyphon Paykull, 1799",5
"Crematogaster carinata Mayr, 1862",5
"Nasutitermes Dudley, 1890",5
"Eciton dulcium Forel, 1912",5
"Tulcus paganus (Pascoe, 1859)",5
"Calliscelio amadoi Chen & Johnson, 2017",5
"Rheumatobates Bergroth, 1892",5
"Acrocinus longimanus (Linnaeus, 1758)",4
"Mayaponera constricta (Mayr, 1884)",4
"Macronema Pictet, 1836",4
